id,temp,hum,feed_id,created_at,lat,lon,ele
0FQSSDA06VT3KZBSK0ED9WGZ3P,18.60,32.10,2928278,2024-11-08 11:14:36 UTC,,,
0FQSSG509XR1A8W4R4PZ8WTDWW,18.40,30.80,2928278,2024-11-08 11:19:34 UTC,,,
0FQSSK0D847FMKGZM8TE5BEQMM,-13.40,34.80,2928278,2024-11-08 11:24:34 UTC,,,
0FQSSRQ9A8D87KKER6T1KD2H55,-20.80,52.50,2928278,2024-11-08 11:34:33 UTC,,,
0FQSSVJSCYZ8JQE1QCBSTSNDWY,-22.00,49.20,2928278,2024-11-08 11:39:33 UTC,,,
0FQSSYE1CTR7R5JP5N7NTTGW9D,-22.90,47.50,2928278,2024-11-08 11:44:32 UTC,,,
0FQST197A74MRJR5D625ABHXBZ,-22.90,48.70,2928278,2024-11-08 11:49:31 UTC,,,
0FQST75SGNG3NN454W3EXRA904,-21.70,56.70,2928278,2024-11-08 11:59:48 UTC,,,
0FQSTA17FZBNTD7MHFG7M7CTAQ,-21.00,60.30,2928278,2024-11-08 12:04:48 UTC,,,
0FQSTCWPEKJSDWJE4GT6DZYSV8,-20.40,67.80,2928278,2024-11-08 12:09:48 UTC,,,
0FQSTFR5HWMFG6EMK0AT2CY399,-20.40,63.90,2928278,2024-11-08 12:14:48 UTC,,,
0FQSTNHDQPQF6JB6STJ88YTDXJ,-22.60,52.70,2928278,2024-11-08 12:24:55 UTC,,,
0FQSTRCYM86BW2Z58DRJMH298F,-23.10,52.50,2928278,2024-11-08 12:29:55 UTC,,,
0FQSTV8DRD698QEPQBD1F2PXQN,-22.60,54.20,2928278,2024-11-08 12:34:54 UTC,,,
0FQSTY3RMQXQ4BM3R2JZHZRYPS,-21.90,57.30,2928278,2024-11-08 12:39:54 UTC,,,
0FQSV0Z3KYSDV6TMBXB351YXN9,-21.20,65.90,2928278,2024-11-08 12:44:53 UTC,,,
0FQSV3TJPAFV8PYE5DWYVM90AK,-20.90,70.40,2928278,2024-11-08 12:49:53 UTC,,,
0FQSV6P4Q6S3HNJ530QQS44CMH,-20.30,71.10,2928278,2024-11-08 12:54:53 UTC,,,
0FQSV9HFTGAVZAX9XQJ8A7CVSY,-21.00,59.80,2928278,2024-11-08 12:59:52 UTC,,,
0FQSVCCZS8P9E534BR6GKZVRFC,-22.00,54.40,2928278,2024-11-08 13:04:52 UTC,,,
0FQSVF8AQXNQP2KR354FW4Y5VX,-22.80,51.80,2928278,2024-11-08 13:09:51 UTC,,,
0FQSVJ3MSP2NPW3BV9HBH3EHCY,-23.10,51.00,2928278,2024-11-08 13:14:50 UTC,,,
0FQSVMYES5BFEFE1B0Y278DCQ2,-22.20,57.00,2928278,2024-11-08 13:19:48 UTC,,,
0FQSVQSVW0672K1C0RZDX6ZKCZ,-21.10,73.50,2928278,2024-11-08 13:24:47 UTC,,,
0FQSVTN6YFKV0PNBB7PD1RYNY9,-21.00,74.10,2928278,2024-11-08 13:29:47 UTC,,,
0FQSVXGNX20H86WQHKM4H4NAD6,-20.70,74.10,2928278,2024-11-08 13:34:46 UTC,,,
0FQSW39MY670S9B4VAH8FW8VPE,-21.50,58.10,2928278,2024-11-08 13:44:53 UTC,,,
0FQSW6510H46QX87FWB5H8F915,-22.70,53.60,2928278,2024-11-08 13:49:52 UTC,,,
0FQSW932XSP9R0MHC06ESR7907,-23.00,52.70,2928278,2024-11-08 13:55:00 UTC,,,
0FQSWBYA5QJ41TBBNYDN3VBXTY,-22.80,53.20,2928278,2024-11-08 13:59:59 UTC,,,
0FQSWHQ53NVT1W0JEZS07YBA77,-21.60,60.00,2928278,2024-11-08 14:10:05 UTC,,,
0FQSWQDX454MK9NYQ265DDRT1M,-20.70,63.10,2928278,2024-11-08 14:20:04 UTC,,,
0FQSWT9B5ESAZQGRCNQAFW0D13,-20.30,63.00,2928278,2024-11-08 14:25:03 UTC,,,
0FQSWX4R4YKY06ZNN0M0YDXYC8,-21.20,56.50,2928278,2024-11-08 14:30:03 UTC,,,
0FQSX0077X5HHMMW1JVPXQ4D35,-22.10,53.30,2928278,2024-11-08 14:35:03 UTC,,,
0FQSX2VQFTYN1W60BE6D6YD5X3,-22.90,51.30,2928278,2024-11-08 14:40:02 UTC,,,
0FQSX5PZ7QB86A9AXQKCBCDY15,-22.90,51.60,2928278,2024-11-08 14:45:01 UTC,,,
0FQSX8JE8BM9STZN554STHNJ24,-22.10,55.00,2928278,2024-11-08 14:50:01 UTC,,,
0FQSXBDZNP0YSQD1CN5NR784SA,-21.60,57.60,2928278,2024-11-08 14:55:01 UTC,,,
0FQSXE92AWRG6VKEXMGRBJ6SNS,-21.10,58.60,2928278,2024-11-08 15:00:00 UTC,,,
0FQSXH4DCQNXD9M71E9M8KZG7E,-20.70,59.60,2928278,2024-11-08 15:04:59 UTC,,,
0FQSXKZXHD5EY7WRF0APZBRHWV,-20.40,61.30,2928278,2024-11-08 15:09:59 UTC,,,
0FQSXPV9FZ78N95Z5DKA8AFF7G,-20.00,63.70,2928278,2024-11-08 15:14:58 UTC,,,
0FQSXSPMET5ZATYFKSC6G6AYPX,-19.70,66.40,2928278,2024-11-08 15:19:57 UTC,,,
0FQSXWJ4V649VWZZQW2ECN401S,-19.50,68.30,2928278,2024-11-08 15:24:57 UTC,,,
0FQSXZDJKDQV0SAMF7TAHX5E0K,-19.20,69.10,2928278,2024-11-08 15:29:57 UTC,,,
0FQSY28ZP4GGEMTVM3X4XBKVYF,-18.20,75.40,2928278,2024-11-08 15:34:56 UTC,,,
0FQSY547NSKVGR4PBNN4BST0TD,-16.20,81.60,2928278,2024-11-08 15:39:55 UTC,,,
0FQSY7ZMMMMZJSTTE3EM63RYY7,-16.70,73.00,2928278,2024-11-08 15:44:55 UTC,,,
0FQSYATZJVVK510FJR98SAXX83,-17.70,65.60,2928278,2024-11-08 15:49:54 UTC,,,
0FQSYDP8Q9VBBK7NSZ28CHM49E,-18.70,63.80,2928278,2024-11-08 15:54:53 UTC,,,
0FQSYGHMP7WQQVMX4BCNAHXZED,-19.60,60.20,2928278,2024-11-08 15:59:53 UTC,,,
0FQSYKD5NJGWVN8Q5VWG5ACHBS,-20.50,58.10,2928278,2024-11-08 16:04:53 UTC,,,
0FQSYP8BQ7K7PHSDGFYY8WYBCT,-21.30,56.40,2928278,2024-11-08 16:09:52 UTC,,,
0FQSYS3QT66YFAGGQEBWHRB554,-22.00,54.30,2928278,2024-11-08 16:14:51 UTC,,,
0FQSYVZ1TV3H4JB1SA4HP8Y5FP,-22.70,53.00,2928278,2024-11-08 16:19:50 UTC,,,
0FQSYYTJZ32F2982ENE0NJ8RPQ,-23.30,52.20,2928278,2024-11-08 16:24:50 UTC,,,
0FQSZ1NZV5K2WZV14W7ZDZJ40X,-22.80,53.50,2928278,2024-11-08 16:29:50 UTC,,,
0FQSZ4HDX902XAY7Y3GH3AB50W,-22.00,57.60,2928278,2024-11-08 16:34:49 UTC,,,
0FQSZ7CVW8DJMQWXSBHAG824H6,-21.40,61.20,2928278,2024-11-08 16:39:49 UTC,,,
0FQSZA86ZQBBHWPGWNTXPX3H56,-20.90,64.00,2928278,2024-11-08 16:44:48 UTC,,,
0FQSZD3NZ0B36BFZ34W0P8XYZQ,-19.90,74.00,2928278,2024-11-08 16:49:48 UTC,,,
0FQSZFZ3E6GK9B5BQY6JT0CM1K,-20.40,64.10,2928278,2024-11-08 16:54:48 UTC,,,
0FQSZJTF4JKK86ZCP2QR3GPBZ8,-21.40,57.20,2928278,2024-11-08 16:59:47 UTC,,,
0FQSZNP09EHY569WVWXG7W09MG,-22.30,54.00,2928278,2024-11-08 17:04:47 UTC,,,
0FQSZRHE299K5G482XWNY4ZQS6,-23.00,52.40,2928278,2024-11-08 17:09:46 UTC,,,
0FQSZVCV2T7VJ0KGP33VG2Y3YF,-22.60,53.60,2928278,2024-11-08 17:14:46 UTC,,,
0FQSZY8845EYBH636FCFBSTN0G,-21.90,57.10,2928278,2024-11-08 17:19:45 UTC,,,
0FQT013K6SYV47WM3F6HPN3N75,-21.30,60.30,2928278,2024-11-08 17:24:45 UTC,,,
0FQT03YZ577AHWCSHN690J6SZ8,-20.70,63.40,2928278,2024-11-08 17:29:44 UTC,,,
0FQT06TC9X61212WMNTWJG606B,-20.00,73.00,2928278,2024-11-08 17:34:44 UTC,,,
0FQT0CH6G7K332SMNJMF32J0G3,-21.60,55.50,2928278,2024-11-08 17:44:43 UTC,,,
0FQT0FCK70NJNZA6RYER1Y8Q69,-22.50,52.80,2928278,2024-11-08 17:49:42 UTC,,,
0FQT0J8MBFTZ0YC0WJ2WJEJ3SA,-23.30,51.30,2928278,2024-11-08 17:54:44 UTC,,,
0FQT0N3SG8KMV83SJY7E8HBMBJ,-22.50,53.50,2928278,2024-11-08 17:59:43 UTC,,,
0FQT0QZ89V8J437MJ55FZZTZZ1,-21.80,56.90,2928278,2024-11-08 18:04:42 UTC,,,
0FQT0TTSCGZAB43WPPY69WYGRN,-21.30,59.80,2928278,2024-11-08 18:09:42 UTC,,,
0FQT0XPACTD4X111XMMHT2AT8K,-20.80,61.90,2928278,2024-11-08 18:14:42 UTC,,,
0FQT10HREAXY65VSWN1AGG8EC8,-20.30,65.10,2928278,2024-11-08 18:19:42 UTC,,,
0FQT13DAFVKDWB4X3EVF96GHTY,-20.70,58.20,2928278,2024-11-08 18:24:42 UTC,,,
0FQT168KFBW0XNGZXY7TS4QG4J,-21.80,53.50,2928278,2024-11-08 18:29:41 UTC,,,
0FQT1943JWWN4VF03WMTSX6NQ1,-22.60,51.60,2928278,2024-11-08 18:34:41 UTC,,,
0FQT1BZKS9N7PH0FR3TED7MYHX,-23.10,50.90,2928278,2024-11-08 18:39:41 UTC,,,
0FQT1EV4JX5FSSHT34KQQDXS73,-22.30,61.30,2928278,2024-11-08 18:44:41 UTC,,,
0FQT1HPFHC544HVYHVY8ETJB1W,-21.70,63.30,2928278,2024-11-08 18:49:40 UTC,,,
0FQT1QESM7PSZ8MK5H3WE16AQB,-20.80,65.00,2928278,2024-11-08 18:59:44 UTC,,,
0FQT1TA8RTRRMYGNJ6EMGXVT6W,-20.10,67.70,2928278,2024-11-08 19:04:44 UTC,,,
0FQT1X5SPW920V5S1DR6Y5B3Y0,-20.80,58.50,2928278,2024-11-08 19:09:43 UTC,,,
0FQT2015P3DM5GKYVX03WCTWMV,-21.80,53.90,2928278,2024-11-08 19:14:43 UTC,,,
0FQT22WST19EVR3N0GPJJF03TW,-22.70,52.00,2928278,2024-11-08 19:19:43 UTC,,,
0FQT25R4SHVQN2HEGEV6CY0D1F,-23.20,50.90,2928278,2024-11-08 19:24:42 UTC,,,
0FQT28KKRB1N0374MDDQFVP7N4,-22.40,54.10,2928278,2024-11-08 19:29:42 UTC,,,
0FQT2BF3T6Q6QAAR6K1F7N6FKH,-21.70,57.50,2928278,2024-11-08 19:34:42 UTC,,,
0FQT2EAKTQ89MQBQ5ZBEZ74G6K,-21.20,60.70,2928278,2024-11-08 19:39:42 UTC,,,
0FQT2H5YTAH2PF3H1Q71ZDWK7J,-20.80,62.40,2928278,2024-11-08 19:44:41 UTC,,,
0FQT2M1A3JFDKQHN311VAXPKVM,-20.20,64.90,2928278,2024-11-08 19:49:41 UTC,,,
0FQT2PWPWZGVVQBSGMRRT9VZHV,-21.00,56.20,2928278,2024-11-08 19:54:40 UTC,,,
0FQT2SR40MSSZ28XV9D719ZQF8,-22.40,51.80,2928278,2024-11-08 19:59:40 UTC,,,
0FQT2WKEY03Z18BXKRHRHJ2HS1,-22.80,50.90,2928278,2024-11-08 20:04:39 UTC,,,
0FQT32CF279SZZACGE8YXPDRDX,-22.40,58.80,2928278,2024-11-08 20:14:45 UTC,,,
0FQT357T0S1GSHTZY4M2XSGPZB,-21.00,67.40,2928278,2024-11-08 20:19:44 UTC,,,
0FQT38351HMRBH6KM6SEN43N9K,-20.70,70.70,2928278,2024-11-08 20:24:44 UTC,,,
0FQT3AYN3B8KHKKW38X58WAJCZ,-19.40,79.60,2928278,2024-11-08 20:29:44 UTC,,,
0FQT3DT76K6EGEW8KJDYP4M9MH,-19.90,70.60,2928278,2024-11-08 20:34:44 UTC,,,
0FQT3GNP3CSSX3Z5E3PPQ51NAH,-21.10,60.50,2928278,2024-11-08 20:39:43 UTC,,,
0FQT3KH07AZMX4J19R7311BYF7,-22.10,55.30,2928278,2024-11-08 20:44:43 UTC,,,
0FQT3PCM4AHVPZNMH4A9PY9G7H,-23.30,51.90,2928278,2024-11-08 20:49:43 UTC,,,
0FQT3S816QDR0668HNYM9Z12ZT,-22.40,55.50,2928278,2024-11-08 20:54:42 UTC,,,
0FQT3W3B7G1NX9YMZMWJZ7752V,-21.90,58.00,2928278,2024-11-08 20:59:41 UTC,,,
0FQT3YYP9N7Z0NAB9XAX3HJ0YK,-21.80,58.70,2928278,2024-11-08 21:04:41 UTC,,,
0FQT41T7A1V59DC9RCQ7QN7PB2,-21.30,61.30,2928278,2024-11-08 21:09:41 UTC,,,
0FQT44NMBNWNM50XH9KX1HZQCF,-20.80,62.60,2928278,2024-11-08 21:14:40 UTC,,,
0FQT4ACCABQ3Q0W5MWFTY0JZYW,-21.00,57.30,2928278,2024-11-08 21:24:39 UTC,,,
0FQT4D7XDW8THAQM4YN93AXRD1,-22.10,53.40,2928278,2024-11-08 21:29:39 UTC,,,
0FQT4G38AVT5TKHQ8JV7KNHTXF,-22.80,53.00,2928278,2024-11-08 21:34:38 UTC,,,
0FQT4JYPKTHE5YGD75QYC20FZQ,-23.00,53.40,2928278,2024-11-08 21:39:38 UTC,,,
0FQT4NV4398CFQD4Y68RBF0GXY,-22.30,56.20,2928278,2024-11-08 21:44:41 UTC,,,
0FQT4RPHCYNCYE2MPDZ238VWBG,-21.20,61.40,2928278,2024-11-08 21:49:40 UTC,,,
0FQT4VJYHT3ENW5JAH4VEM8HR7,-21.20,61.40,2928278,2024-11-08 21:54:43 UTC,,,
0FQT4YEDMN9BZ1KHZJT1J36ST8,-20.70,62.40,2928278,2024-11-08 21:59:43 UTC,,,
0FQT519QGBV8J45MFVD2ZVF81N,-20.20,64.00,2928278,2024-11-08 22:04:42 UTC,,,
0FQT5CQDMHKP1MJKPWQA55NM91,-22.90,52.20,2928278,2024-11-08 22:24:40 UTC,,,
0FQT5JGATS21AJ1JGD38RJRQGT,-21.60,59.00,2928278,2024-11-08 22:34:46 UTC,,,
0FQT5NBRR0SCEHYH27CKV23MZH,-21.10,61.30,2928278,2024-11-08 22:39:46 UTC,,,
0FQT5R83QK6RCE4F1B3XH3PQ3Z,-20.70,62.50,2928278,2024-11-08 22:44:49 UTC,,,
0FQT60T9YXS9DG62PMM0V845XJ,-22.20,52.30,2928278,2024-11-08 22:59:47 UTC,,,
0FQT63TZXTWTK2AYFS3H0MSDA4,-23.10,51.20,2928278,2024-11-08 23:05:04 UTC,,,
0FQT66NXV2P90MD09VMR5JFDGT,-22.90,51.90,2928278,2024-11-08 23:10:02 UTC,,,
0FQT69J6VX5W4JDE6V997S19XX,-22.20,55.50,2928278,2024-11-08 23:15:04 UTC,,,
0FQT6F9GYCQJ5E3NBXHKVSMPD3,-20.90,63.00,2928278,2024-11-08 23:25:05 UTC,,,
0FQT6N682FK2A6JYYFNW5R0CKH,-20.20,66.50,2928278,2024-11-08 23:35:23 UTC,,,
0FQT6R1J09G8V2EZZYMK9ECN08,-21.30,56.90,2928278,2024-11-08 23:40:23 UTC,,,
0FQT6TXT0B47VMCABD54TNVV9G,-22.30,52.70,2928278,2024-11-08 23:45:25 UTC,,,
0FQT6XSZ0JQKMQDWR1YJZET87C,-23.20,51.20,2928278,2024-11-08 23:50:27 UTC,,,
0FQT70N739CYSWHK7SW9RQWJWZ,-22.80,52.40,2928278,2024-11-08 23:55:26 UTC,,,
0FQT76C067Z336Z4D50K42PHSH,-21.60,59.00,2928278,2024-11-09 00:05:25 UTC,,,
0FQT7C5A6AAQZQR02HMBYSDPPA,-20.70,62.20,2928278,2024-11-09 00:15:32 UTC,,,
0FQT7F0A8QHE57N7R1WJPEF4XC,-20.30,62.50,2928278,2024-11-09 00:20:30 UTC,,,
0FQT7HVQ9SB7WYJ6TZ7A7GRETX,-21.30,55.00,2928278,2024-11-09 00:25:30 UTC,,,
0FQT7MSV8E1GNFZQCGC7ERKVNQ,-22.30,52.20,2928278,2024-11-09 00:30:38 UTC,,,
0FQT7QMWB61CVA10QAH64GXPG0,-23.10,50.60,2928278,2024-11-09 00:35:36 UTC,,,
0FQT7TG5JFNNK8TX86052QQYQW,-22.80,51.90,2928278,2024-11-09 00:40:36 UTC,,,
0FQT806YDJ4FPS9MVY7XXSQG7H,-21.60,59.20,2928278,2024-11-09 00:50:34 UTC,,,
0FQT832DC8KQ9TZK21DSXQHERB,-21.10,61.00,2928278,2024-11-09 00:55:34 UTC,,,
0FQT85XXRAYCAD40610S6MZRNA,-20.70,62.20,2928278,2024-11-09 01:00:34 UTC,,,
0FQT88SFFYKRQKXP6A5E84KDMH,-20.10,65.10,2928278,2024-11-09 01:05:34 UTC,,,
0FQT8BMREF2GKF52DE5T3SDH9T,-21.20,56.10,2928278,2024-11-09 01:10:33 UTC,,,
0FQT8EG4J32RJT5E77HV37ZKSK,-22.20,52.40,2928278,2024-11-09 01:15:33 UTC,,,
0FQT8HBFH7D6JS8WJJX4SCFMQ6,-23.10,50.80,2928278,2024-11-09 01:20:32 UTC,,,
0FQT8M6WJBT674M6W74MKBKAVQ,-22.90,51.80,2928278,2024-11-09 01:25:31 UTC,,,
0FQT8Q24HTKH2YK54YA33A0Q3B,-22.20,55.00,2928278,2024-11-09 01:30:30 UTC,,,
0FQT8SXNND1J9BZ7DWCKYGR59T,-21.70,58.50,2928278,2024-11-09 01:35:30 UTC,,,
0FQT8WS3PW3C860CTNEQN7QTN1,-21.10,60.50,2928278,2024-11-09 01:40:30 UTC,,,
0FQT8ZMBN96RWEXTSZ43NF6F8G,-20.70,61.60,2928278,2024-11-09 01:45:29 UTC,,,
0FQT92FWQADWDT60S9JPZ5GH38,-20.30,61.60,2928278,2024-11-09 01:50:29 UTC,,,
0FQT95BAPRE2ZD5QJ9Q2XWS4NM,-21.40,54.30,2928278,2024-11-09 01:55:29 UTC,,,
0FQT986XRECDFJYCB03FWSFAX0,-22.30,51.70,2928278,2024-11-09 02:00:29 UTC,,,
0FQT9B2AV6TZ5W6GAMN0XQQYP9,-23.10,50.40,2928278,2024-11-09 02:05:28 UTC,,,
0FQT9DXPS7TWKFH7H094TZDYDT,-22.80,51.70,2928278,2024-11-09 02:10:28 UTC,,,
0FQT9GS1SDRHD2N91T0C2W9JFY,-22.10,55.30,2928278,2024-11-09 02:15:27 UTC,,,
0FQT9KMCVF77M4MHZDHSA7KTF1,-21.60,58.70,2928278,2024-11-09 02:20:26 UTC,,,
0FQT9PFVT201HFQQFA60SQZ3P6,-21.10,60.80,2928278,2024-11-09 02:25:26 UTC,,,
0FQT9SB6V519H3X8CP0VQ8KP9F,-20.60,61.90,2928278,2024-11-09 02:30:25 UTC,,,
0FQT9W6RWZW1Z2QB0K0F093SW3,-20.50,59.60,2928278,2024-11-09 02:35:25 UTC,,,
0FQT9Z29XT8KGRQTHWR0V1Z73B,-21.50,53.70,2928278,2024-11-09 02:40:25 UTC,,,
0FQTA1XM47JZFEG83HHR3AYSEB,-22.50,51.10,2928278,2024-11-09 02:45:25 UTC,,,
0FQTA4S45B3XEZ578K283R0CFN,-23.20,50.30,2928278,2024-11-09 02:50:24 UTC,,,
0FQTA7MG1RE54HPDDGA0BPYPDW,-22.40,53.10,2928278,2024-11-09 02:55:24 UTC,,,
0FQTAAFY34D1VGGJV9X69QPZXN,-21.80,56.90,2928278,2024-11-09 03:00:23 UTC,,,
0FQTADBE4KMTFN3XHQJJWGJBJA,-21.40,59.70,2928278,2024-11-09 03:05:23 UTC,,,
0FQTAG6V1SKJSNKRHZC3PF0H2V,-20.90,61.20,2928278,2024-11-09 03:10:23 UTC,,,
0FQTAK253BGQF8E564KXV70GTD,-20.30,64.00,2928278,2024-11-09 03:15:22 UTC,,,
0FQTANXHAWJMQJG8ZNMP993SB9,-21.00,56.20,2928278,2024-11-09 03:20:21 UTC,,,
0FQTARS13B51KCCF1PW85HGY33,-22.00,52.90,2928278,2024-11-09 03:25:21 UTC,,,
0FQTAVMG41J3V218TRDBS4C638,-22.80,50.90,2928278,2024-11-09 03:30:21 UTC,,,
0FQTAYG09GM0RF28ZDTYWK6EEZ,-23.20,50.10,2928278,2024-11-09 03:35:21 UTC,,,
0FQTB1BB8TG0S3G5HJD923QQ8B,-22.50,53.10,2928278,2024-11-09 03:40:20 UTC,,,
0FQTB46N6Q9V6FFFQ6Q69W5CTP,-21.90,56.10,2928278,2024-11-09 03:45:19 UTC,,,
0FQTB7207S6KMXVY6410YTP1YZ,-21.30,57.70,2928278,2024-11-09 03:50:19 UTC,,,
0FQTB9XE9WRQWCF9HY69QBBE6H,-20.90,58.70,2928278,2024-11-09 03:55:18 UTC,,,
0FQTBCRW9NTA3VTG2ZR44VNE0P,-20.50,60.00,2928278,2024-11-09 04:00:18 UTC,,,
0FQTBFMBAD4Z5W41QT66WCZ7TF,-20.10,62.10,2928278,2024-11-09 04:05:18 UTC,,,
0FQTBJFRE9A10TEA8T5CAFC8W0,-19.80,64.80,2928278,2024-11-09 04:10:17 UTC,,,
0FQTBNB8B12FYN1SKKJH4N36S5,-19.50,66.90,2928278,2024-11-09 04:15:17 UTC,,,
0FQTBR6NBPA66F600KFWJ1TD10,-19.20,67.80,2928278,2024-11-09 04:20:16 UTC,,,
0FQTBV20BCG335D0VRBEJT3D3Y,-18.90,68.50,2928278,2024-11-09 04:25:16 UTC,,,
